	MLH3_expression
TCGA-HT-A616-01	3.4256574129784916
TCGA-HT-7681-01	3.1670993655421986
TCGA-DU-8162-01	3.4465234903143105
TCGA-DU-A6S2-01	3.851735068001228
TCGA-DU-7309-01	3.41285981803489
TCGA-DB-A4XH-01	3.2315781062341564
TCGA-HT-7485-01	3.622984533883714
TCGA-VW-A7QS-01	1.6667254162753955
TCGA-VV-A86M-01	3.6674221182285565
TCGA-E1-A7YV-01	3.5069616150370995
TCGA-HT-7468-01	3.667305644113208
TCGA-HT-7677-01	2.3624723092874107
TCGA-DU-A5TY-01	4.046460283701623
TCGA-HT-8109-01	3.5142126591507603
TCGA-S9-A6TZ-01	4.096663197887444
TCGA-HT-7479-01	3.2164751815298094
TCGA-TM-A84M-01	5.010110264540357
TCGA-DB-5275-01	1.898834619754788
TCGA-TQ-A7RS-01	4.143419577989744
TCGA-TM-A7C4-01	3.506609282775292
TCGA-DU-A76K-01	3.253649041607846
TCGA-DH-A7UU-01	3.747415070697876
TCGA-HT-A4DV-01	4.321849492990771
TCGA-FG-8186-01	3.73944605394829
TCGA-E1-5305-01	2.2127319732016817
TCGA-CS-5393-01	2.287660536847108
TCGA-DU-6395-01	3.603790885872064
TCGA-DB-A64X-01	3.0810507687955457
TCGA-S9-A7IS-01	4.342168561809207
TCGA-HT-7856-01	3.800202197790516
TCGA-S9-A7R1-01	4.0059668010286495
TCGA-QH-A6XA-01	3.975527618812917
TCGA-P5-A77W-01	1.4225713235195736
TCGA-CS-6186-01	4.184164718791668
TCGA-RY-A840-01	3.7767600221557887
TCGA-HT-7688-01	2.974152794544361
TCGA-DU-5872-02	3.5311173471523483
TCGA-HT-A74O-01	2.5903173593972
TCGA-DU-A6S3-01	1.9512450499870744
TCGA-DB-A64U-01	3.3237551310512945
TCGA-HT-A61C-01	4.0994738393326475
TCGA-FN-7833-01	3.3687019422816364
TCGA-TQ-A7RF-01	1.8213384185668
TCGA-F6-A8O3-01	3.1424752176247943
TCGA-S9-A7QW-01	4.022725173632538
TCGA-DU-A5TT-01	4.064266529757584
TCGA-QH-A870-01	3.5384284584221004
TCGA-HT-8107-01	3.8481116792100334
TCGA-HT-8111-01	3.9695009142788655
TCGA-S9-A7QZ-01	2.3719521896029607
TCGA-P5-A5ET-01	2.420778166916754
TCGA-DB-5273-01	3.6752074869477673
TCGA-HT-7470-01	3.3396250552995865
TCGA-FG-A4MY-01	3.8861889783721475
TCGA-DB-A4XE-01	4.065921967933893
TCGA-HT-A4DS-01	2.775214548580888
TCGA-DU-8158-01	3.3361099579286493
TCGA-HT-7474-01	3.511334697829904
TCGA-TQ-A7RJ-01	4.027226036458198
TCGA-S9-A7QY-01	3.5535933314500667
TCGA-DB-A4XA-01	2.4262914513949463
TCGA-P5-A731-01	3.9735822214654366
TCGA-E1-A7YE-01	4.157597059583692
TCGA-FG-A710-01	4.1323742037831686
TCGA-HT-8010-01	3.3141674726694417
TCGA-DH-5143-01	2.862147094536457
TCGA-DU-7299-01	1.3336443863493308
TCGA-DB-5270-01	3.567726973112002
TCGA-KT-A74X-01	2.888313672399628
TCGA-DB-A75L-01	3.9043394059943695
TCGA-HT-A74K-01	3.6903259286169177
TCGA-WY-A85C-01	3.7697798282241495
TCGA-FG-8188-01	3.383834606706745
TCGA-DU-A6S7-01	2.058135364978614
TCGA-HT-7855-01	1.0971127932452107
TCGA-DB-5274-01	1.9622649033511201
TCGA-HT-7604-01	3.3185632298319803
TCGA-P5-A72W-01	1.5270618323119027
TCGA-DB-A64O-01	3.775244193163706
TCGA-HT-7884-01	4.580061498085152
TCGA-DB-A75O-01	3.3349996784487743
TCGA-QH-A6CY-01	3.389112611858645
TCGA-S9-A6WM-01	3.689436427502664
TCGA-QH-A6CV-01	4.108003063373364
TCGA-DU-5852-01	3.333769844614864
TCGA-P5-A72U-01	3.6009593167834626
TCGA-DB-A75K-01	3.487037838070122
TCGA-QH-A65Z-01	2.7905435687346105
TCGA-S9-A7IY-01	3.4483490202354607
TCGA-P5-A781-01	4.024659569833647
TCGA-FG-A6J3-01	3.81106967794087
TCGA-FG-7634-01	3.815008660154957
TCGA-DU-6396-01	3.2321492212207854
TCGA-FG-7643-01	3.3515413552891946
TCGA-TM-A84C-01	3.561503213624515
TCGA-WY-A85E-01	4.0573435107115765
TCGA-DU-7298-01	3.4280419458425007
TCGA-TM-A84T-01	4.0458951157300875
TCGA-FG-7637-01	3.4844636412161414
TCGA-HT-A5R9-01	1.439449855786485
TCGA-HT-A614-01	4.364312015850087
TCGA-DU-A7TG-01	3.1690613547079747
TCGA-FG-A60J-01	3.8473151799197964
TCGA-FG-8189-01	3.4529050434532964
TCGA-P5-A5EY-01	2.9815324520768645
TCGA-HW-7486-01	3.4377767188628865
TCGA-HT-7882-01	3.4421290789132484
TCGA-HT-8011-01	4.2082614726784815
TCGA-DU-6394-01	1.0862572730329598
TCGA-WY-A859-01	4.1153462338196825
TCGA-VM-A8CD-01	3.211781072585201
TCGA-WY-A85B-01	3.098113022016743
TCGA-S9-A6UB-01	4.646412294039132
TCGA-S9-A6U6-01	4.373790467207041
TCGA-DU-8168-01	1.6112073111362697
TCGA-DU-7290-01	3.0748010800008547
TCGA-DU-6407-01	2.1552872503892044
TCGA-QH-A6CW-01	1.540968240691595
TCGA-HT-7601-01	3.8311360550483884
TCGA-DU-6403-01	3.7358609337848065
TCGA-DB-A64R-01	3.2208875605951657
TCGA-S9-A6U0-01	3.9225977399127374
TCGA-E1-A7YQ-01	3.749175023290931
TCGA-DU-6405-01	4.388924214479815
TCGA-HW-7487-01	3.3675126681779037
TCGA-S9-A7J1-01	2.375973202996736
TCGA-P5-A72X-01	3.471163838285464
TCGA-E1-A7YJ-01	3.9899174920209934
TCGA-HT-7690-01	4.264815817915168
TCGA-HT-8105-01	2.256655680508972
TCGA-E1-A7YY-01	3.7225557524514232
TCGA-HT-A619-01	3.8716014923969735
TCGA-R8-A6MK-01	1.801228236791394
TCGA-DU-6400-01	3.5699679972112417
TCGA-P5-A737-01	3.103633377760221
TCGA-RY-A83Y-01	3.4499279937955127
TCGA-HT-8564-01	3.602792596952082
TCGA-HT-7686-01	3.5656972413700787
TCGA-E1-A7YM-01	4.019246320318981
TCGA-DH-A66F-01	4.189281759417035
TCGA-CS-5390-01	2.061018827530352
TCGA-FG-A87N-01	4.2362599467807724
TCGA-VV-A829-01	3.6228635468603962
TCGA-DH-A66B-01	1.325372458380044
TCGA-HT-A5R7-01	3.3955671409544936
TCGA-CS-5394-01	3.138788328293305
TCGA-HT-7877-01	3.6849840724917486
TCGA-DU-6542-01	3.356633782762413
TCGA-QH-A6CS-01	3.331548211940049
TCGA-E1-A7YU-01	3.2504301751965565
TCGA-W9-A837-01	3.682214774371938
TCGA-IK-7675-01	3.0514193835514063
TCGA-DU-7306-01	3.4699422860454114
TCGA-QH-A6X9-01	3.4265839586913485
TCGA-E1-5311-01	3.4285324594470366
TCGA-HT-7611-01	3.730986175027183
TCGA-S9-A6TY-01	3.6027717387668434
TCGA-DU-A7TB-01	3.327175131395017
TCGA-DU-8165-01	3.4743080319661304
TCGA-IK-8125-01	3.5253034559244387
TCGA-S9-A6WE-01	2.6627426869044912
TCGA-WH-A86K-01	3.9272864385773536
TCGA-DH-5141-01	2.9769711904339866
TCGA-FG-A60L-01	3.9093629902390328
TCGA-HT-A5RB-01	3.4833556766817946
TCGA-DB-5280-01	3.601034231143391
TCGA-S9-A7IX-01	3.5006402323360284
TCGA-FG-5965-01	3.3524566131554754
TCGA-P5-A5F6-01	3.19307349899814
TCGA-DU-A5TP-01	3.4545745859943287
TCGA-DU-7007-01	3.5150921399635737
TCGA-HW-7490-01	1.8980543393405584
TCGA-CS-6188-01	3.9315493807489283
TCGA-CS-6668-01	3.963959519108151
TCGA-HT-7692-01	3.257522359481293
TCGA-TQ-A7RM-01	3.749808385637696
TCGA-DU-8161-01	3.385960782211129
TCGA-HT-8108-01	3.26850265815826
TCGA-P5-A736-01	2.84903484330666
TCGA-DU-6401-01	2.842546048100892
TCGA-TQ-A7RV-01	3.593959081196255
TCGA-TQ-A7RV-02	3.0458564378054462
TCGA-HT-7483-01	2.8582665240074085
TCGA-HT-7620-01	3.5138701120610194
TCGA-HT-7480-01	4.168099979727758
TCGA-S9-A7J0-01	2.009262153368189
TCGA-TM-A84Q-01	1.82270224061552
TCGA-DU-7015-01	3.7826403582109682
TCGA-RY-A847-01	3.1651070152642493
TCGA-TQ-A7RQ-01	4.3085870704012015
TCGA-TQ-A7RW-01	3.9662506579218895
TCGA-FG-8191-01	4.346223244771906
TCGA-E1-A7YW-01	4.120173375257544
TCGA-DB-5278-01	3.834428976467858
TCGA-E1-A7YS-01	3.9749105554822792
TCGA-HT-7695-01	3.884311266339677
TCGA-DU-7012-01	3.4654342577235937
TCGA-HT-7879-01	3.623709795048258
TCGA-DU-A7TC-01	2.742030001493592
